name,category,source,license,version,author,date,status,batch,file,notes
spr_food_picanha_raw,food,ai-assisted-reviewed,proprietary,1.0,AI image model (Arena agent) + studio review,2026-09-25,approved,lote-01,Assets/Art/Sprites/Food/spr_food_picanha_raw.png,aprovado pelo dono em 2026-09-25 (seguir para o lote 02)
spr_food_picanha_rare,food,ai-assisted-reviewed,proprietary,1.0,AI image model (Arena agent) + studio review,2026-09-25,approved,lote-01,Assets/Art/Sprites/Food/spr_food_picanha_rare.png,aprovado pelo dono em 2026-09-25 (seguir para o lote 02)
spr_food_picanha_medium,food,ai-assisted-reviewed,proprietary,1.0,AI image model (Arena agent) + studio review,2026-09-25,approved,lote-01,Assets/Art/Sprites/Food/spr_food_picanha_medium.png,aprovado pelo dono em 2026-09-25 (seguir para o lote 02)
spr_food_picanha_well,food,ai-assisted-reviewed,proprietary,1.0,AI image model (Arena agent) + studio review,2026-09-25,approved,lote-01,Assets/Art/Sprites/Food/spr_food_picanha_well.png,aprovado pelo dono em 2026-09-25 (seguir para o lote 02)
spr_food_picanha_burned,food,ai-assisted-reviewed,proprietary,1.0,AI image model (Arena agent) + studio review,2026-09-25,approved,lote-01,Assets/Art/Sprites/Food/spr_food_picanha_burned.png,aprovado pelo dono em 2026-09-25 (seguir para o lote 02)
spr_food_picanha_served,food,ai-assisted-reviewed,proprietary,1.0,AI image model (Arena agent) + studio review,2026-09-25,approved,lote-01,Assets/Art/Sprites/Food/spr_food_picanha_served.png,aprovado pelo dono em 2026-09-25 (seguir para o lote 02)
spr_food_linguica_toscana_raw,food,ai-assisted-reviewed,proprietary,1.0,AI image model (Arena agent) + studio review,2026-09-25,approved,lote-01,Assets/Art/Sprites/Food/spr_food_linguica_toscana_raw.png,aprovado pelo dono em 2026-09-25 (seguir para o lote 02)
spr_food_linguica_toscana_rare,food,ai-assisted-reviewed,proprietary,1.0,AI image model (Arena agent) + studio review,2026-09-25,approved,lote-01,Assets/Art/Sprites/Food/spr_food_linguica_toscana_rare.png,aprovado pelo dono em 2026-09-25 (seguir para o lote 02)
spr_food_linguica_toscana_medium,food,ai-assisted-reviewed,proprietary,1.0,AI image model (Arena agent) + studio review,2026-09-25,approved,lote-01,Assets/Art/Sprites/Food/spr_food_linguica_toscana_medium.png,aprovado pelo dono em 2026-09-25 (seguir para o lote 02)
spr_food_linguica_toscana_well,food,ai-assisted-reviewed,proprietary,1.0,AI image model (Arena agent) + studio review,2026-09-25,approved,lote-01,Assets/Art/Sprites/Food/spr_food_linguica_toscana_well.png,aprovado pelo dono em 2026-09-25 (seguir para o lote 02)
spr_food_linguica_toscana_burned,food,ai-assisted-reviewed,proprietary,1.0,AI image model (Arena agent) + studio review,2026-09-25,approved,lote-01,Assets/Art/Sprites/Food/spr_food_linguica_toscana_burned.png,aprovado pelo dono em 2026-09-25 (seguir para o lote 02)
spr_food_linguica_toscana_served,food,ai-assisted-reviewed,proprietary,1.0,AI image model (Arena agent) + studio review,2026-09-25,approved,lote-01,Assets/Art/Sprites/Food/spr_food_linguica_toscana_served.png,aprovado pelo dono em 2026-09-25 (seguir para o lote 02)
spr_food_pao_de_alho_raw,food,ai-assisted-reviewed,proprietary,1.0,AI image model (Arena agent) + studio review,2026-09-25,approved,lote-01,Assets/Art/Sprites/Food/spr_food_pao_de_alho_raw.png,o modelo escreveu legendas sob cada célula; o recorte mantém só o maior componente — aprovado pelo dono em 2026-09-25 (seguir para o lote 02)
spr_food_pao_de_alho_rare,food,ai-assisted-reviewed,proprietary,1.0,AI image model (Arena agent) + studio review,2026-09-25,approved,lote-01,Assets/Art/Sprites/Food/spr_food_pao_de_alho_rare.png,o modelo escreveu legendas sob cada célula; o recorte mantém só o maior componente — aprovado pelo dono em 2026-09-25 (seguir para o lote 02)
spr_food_pao_de_alho_medium,food,ai-assisted-reviewed,proprietary,1.0,AI image model (Arena agent) + studio review,2026-09-25,approved,lote-01,Assets/Art/Sprites/Food/spr_food_pao_de_alho_medium.png,o modelo escreveu legendas sob cada célula; o recorte mantém só o maior componente — aprovado pelo dono em 2026-09-25 (seguir para o lote 02)
spr_food_pao_de_alho_well,food,ai-assisted-reviewed,proprietary,1.0,AI image model (Arena agent) + studio review,2026-09-25,approved,lote-01,Assets/Art/Sprites/Food/spr_food_pao_de_alho_well.png,o modelo escreveu legendas sob cada célula; o recorte mantém só o maior componente — aprovado pelo dono em 2026-09-25 (seguir para o lote 02)
spr_food_pao_de_alho_burned,food,ai-assisted-reviewed,proprietary,1.0,AI image model (Arena agent) + studio review,2026-09-25,approved,lote-01,Assets/Art/Sprites/Food/spr_food_pao_de_alho_burned.png,o modelo escreveu legendas sob cada célula; o recorte mantém só o maior componente — aprovado pelo dono em 2026-09-25 (seguir para o lote 02)
spr_food_pao_de_alho_served,food,ai-assisted-reviewed,proprietary,1.0,AI image model (Arena agent) + studio review,2026-09-25,approved,lote-01,Assets/Art/Sprites/Food/spr_food_pao_de_alho_served.png,o modelo escreveu legendas sob cada célula; o recorte mantém só o maior componente — aprovado pelo dono em 2026-09-25 (seguir para o lote 02)
spr_food_queijo_coalho_raw,food,ai-assisted-reviewed,proprietary,1.0,AI image model (Arena agent) + studio review,2026-09-25,approved,lote-01,Assets/Art/Sprites/Food/spr_food_queijo_coalho_raw.png,aprovado pelo dono em 2026-09-25 (seguir para o lote 02)
spr_food_queijo_coalho_rare,food,ai-assisted-reviewed,proprietary,1.0,AI image model (Arena agent) + studio review,2026-09-25,approved,lote-01,Assets/Art/Sprites/Food/spr_food_queijo_coalho_rare.png,aprovado pelo dono em 2026-09-25 (seguir para o lote 02)
